"RTL_STORE_CD","RTL_FIPS_COUNTY_CD","STATE_CD","RTL_FIPS_COUNTY_DSC","CUSTCOL_57","RTL_CITY_DSC","RTL_PREMISE_TYPE_CD","RTL_PREMISE_TYPE_DSC","RTL_CHANNEL_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_CD","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG","WJXBFS1"
"102098183","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","09","EXTENDED MASTER OFF-PREMISE","L","ETHNIC MARKETS","N","N",6
"101937588","001","UT","BEAVER","49001","BICKNELL","ON","ON PREMISE","52","LODGING","1","FULL SERVICE LODGING","Y","N",3
"205616547","057","UT","WEBER","49057","OGDEN","ON","ON PREMISE","51","BAR/NIGHTCLUB","3","SPORTS BAR","Y","Y",25
"200691246","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",838.1667
"101982730","035","UT","SALT LAKE","49035","SOUTH JORDAN","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","N",3
"100232801","045","UT","TOOELE","49045","TOOELE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",70
"101916814","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","09","EXTENDED MASTER OFF-PREMISE","L","ETHNIC MARKETS","N","N",745.4999
"101471171","013","UT","DUCHESNE","49013","ROOSEVELT","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",46
"100415561","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",231.0833
"100186901","035","UT","SALT LAKE","49035","SANDY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",981.7499
"100285761","011","UT","DAVIS","49011","NORTH SALT LAKE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",78
"100437545","011","UT","DAVIS","49011","NORTH SALT LAKE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",99.75
"200426711","035","UT","SALT LAKE","49035","WEST VALLEY CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",177
"103308847","017","UT","GARFIELD","49017","ESCALANTE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",29
"107187841","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",265.2499
"101674346","005","UT","CACHE","49005","LOGAN","ON","ON PREMISE","53","RECREATION","2","GOLF/COUNTRY CLUB","Y","Y",4.9165
"100971395","035","UT","SALT LAKE","49035","RIVERTON","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",209.75
"100868345","049","UT","UTAH","49049","OREM","OFF","OFF PREMISE","05","GROCERY","6","SUPERCENTER","Y","N",44.0833
"105628579","027","UT","MILLARD","49027","DELTA","ON","ON PREMISE","53","RECREATION","3","BILLIARD/BOWLING/ARCADE","Y","N",3
"100251879","003","UT","BOX ELDER","49003","TREMONTON","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",86
"100582790","045","UT","TOOELE","49045","TOOELE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",267.75
"100925199","005","UT","CACHE","49005","LOGAN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",107.25
"100111774","035","UT","SALT LAKE","49035","MIDVALE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",692.5833
"105618532","011","UT","DAVIS","49011","LAYTON","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","Y",30.3333
"100903691","045","UT","TOOELE","49045","TOOELE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",126.25
"100329517","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",57.9165
"200112046","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",1424.7499
"101673733","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","53","RECREATION","6","STADIUM/ARENA/CONVENTION","Y","Y",309.889
"103660894","047","UT","UINTAH","49047","ROOSEVELT","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",27
"200498498","039","UT","SANPETE","49039","EPHRAIM","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",16
"103759221","045","UT","TOOELE","49045","TOOELE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",24.25
"105622848","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","2","CASUAL NIGHTCLUB","Y","Y",47
"101647762","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",573.4998
"101676373","017","UT","GARFIELD","49017","ESCALANTE","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",9
"201532566","049","UT","UTAH","49049","OREM","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",228.583
"107415160","049","UT","UTAH","49049","OREM","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",575.1666
"200634813","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",26
"200274736","035","UT","SALT LAKE","49035","WEST VALLEY CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",1028.2497
